  250    9337
    1      14    2301 9
    1      19    7158 78
    1      20    7844 78
    1      22    5175 14
    1      28     680 15
    1      30    2370 89
    1      31    1519 37
    1      35     554 28
    1      37    2045 18
    1      38    4480 97
    1      40     735 47
    1      42    4879 13
    1      44    9878 56
    1      46    5009 36
    1      47    4573 24
    1      52    5866 8
    1      54    8098 93
    1      55    3777 77
    1      57    4400 29
    1      58    9559 5
    1      61    4376 59
    1      63    2614 17
    1      64    3630 70
    1      67    9564 95
    1      68    4093 81
    1      70    5478 29
    1      72    2577 6
    1      76    9312 35
    1      77    2564 21
    1      80    8171 46
    1      83    2189 30
    1      84    4759 44
    1      85    6206 56
    1      87    1821 10
    1      91    7826 92
    1      93    8524 38
    1      94    7176 60
    1      96    7542 17
    1     107    6583 23
    1     109    8435 15
    1     110    1514 99
    1     111    3711 100
    1     113      46 43
    1     114    9250 80
    1     117     807 85
    1     118    6244 77
    1     122    1478 80
    1     124    6643 25
    1     126    7350 90
    1     128    6454 36
    1     131    7910 7
    1     134    7418 69
    1     139    5933 32
    1     140    3022 49
    1     141    7306 16
    1     143    6578 32
    1     147    7525 90
    1     154    9543 72
    1     159    5402 26
    1     163     447 74
    1     164    1270 19
    1     166    3251 80
    1     171     871 82
    1     174    6446 15
    1     178    1436 44
    1     179    3550 39
    1     181    7329 27
    1     182    3349 40
    1     183    6832 59
    1     185       7 62
    1     190    2657 24
    1     191     510 12
    1     194    1546 53
    1     205    1999 26
    1     208    9770 54
    1     209    2469 35
    1     212     712 96
    1     217    6067 8
    1     219    8846 99
    1     220    9303 77
    1     224    7139 59
    1     225    3456 15
    1     226    5316 97
    1     228     356 74
    1     229    6472 100
    1     230    1298 78
    1     238    8423 87
    1     239    7229 81
    1     247    4671 10
    1     248    3155 53
    2       8    2237 22
    2      10    4979 15
    2      13    7916 63
    2      20    9003 92
    2      21    8290 23
    2      22    9277 6
    2      34    5875 74
    2      35    6603 11
    2      39     861 16
    2      48    2003 53
    2      52    9108 65
    2      60    9326 38
    2      63    7694 61
    2      71    4543 16
    2      72    9672 53
    2      73    9650 89
    2      75    6501 64
    2      92     940 73
    2      96     250 9
