  300   13454
    1       2    1063 87
    1       3    6734 17
    1       5    9889 62
    1       7    7990 37
    1      10    6008 75
    1      14    3288 45
    1      16    1834 10
    1      21    1310 76
    1      23    1069 90
    1      26    8765 68
    1      28    9040 3
    1      37    1725 8
    1      40     735 43
    1      41    2683 35
    1      42    8713 18
    1      45    6156 87
    1      47    5208 33
    1      48    5283 69
    1      49    6634 34
    1      54    5454 74
    1      57    2054 69
    1      62    1658 78
    1      69    9629 70
    1      71    3668 25
    1      72    3711 35
    1      77    1110 53
    1      79    3893 26
    1      80    6022 39
    1      81    3079 66
    1      88    1257 1
    1      90    1627 8
    1      92    7241 4
    1      98    8899 39
    1      99     943 36
    1     101    1935 35
    1     102    1913 76
    1     108    3771 59
    1     110    2440 41
    1     111     149 39
    1     113    4436 55
    1     117    3471 11
    1     122    1401 62
    1     125    9752 19
    1     126    5925 62
    1     130    7837 28
    1     132    2623 85
    1     134    6452 19
    1     139    7733 68
    1     143    7343 2
    1     144     243 24
    1     146    9114 80
    1     148    2106 79
    1     150    4181 63
    1     154    3027 82
    1     155    4258 9
    1     159    3411 33
    1     160    7460 75
    1     163    9612 72
    1     167    2990 26
    1     168      28 91
    1     173    4364 38
    1     174    4437 95
    1     177     934 9
    1     181    1631 33
    1     184    7846 66
    1     186    6428 88
    1     188    8707 54
    1     195    1226 69
    1     200    2375 5
    1     202    8066 92
    1     207    8198 39
    1     212    5280 38
    1     222    9390 85
    1     226    7023 49
    1     228    3860 17
    1     229     756 60
    1     232    8850 99
    1     233    6565 38
    1     237    7305 7
    1     238    7314 71
    1     246    5830 38
    1     249    4542 62
    1     252    5831 84
    1     260    2518 71
    1     263    2763 6
    1     265     943 74
    1     268    9064 99
    1     275    2581 24
    1     277    4172 72
    1     280    1085 58
    1     284    4751 26
    1     287    3242 59
    1     289    9365 23
    1     293    2345 63
    1     296    4244 33
    2       7    2339 97
    2       8    1870 32
    2      12    2128 53
    2      13     881 28
    2      14    7720 80
    2      15    6533 100
    2      16    3225 60
    2      18     568 1
    2      20     342 46
    2      22    9515 5
    2      26     170 57
    2      30    9015 71
    2      31    1967 79
    2      33    7979 19
    2      37    9409 76
    2      38    2021 4
    2      47    1220 7
    2      51    8113 53
    2      54    8444 7
    2      55    2669 28
    2      56    1138 56
    2      57    8874 53
    2      58    2026 42
    2      61    4323 51
    2      62    5749 57
    2      66    1660 55
    2      69    8391 46
    2      71      63 55
    2      73    9650 70
    2      79    9937 62
    2      83     615 9
    2      92    1244 96
    2      93    3687 29
    2      95    9308 13
    2      99    1642 94
    2     107    1594 69
    2     108    5154 87
    2     110    7581 71
    2     111    1344 39
    2     116    1547 37
    2     117    9809 33
    2     119    5435 1
    2     122    2496 65
    2     137    9345 10
    2     144    5579 93
    2     161    5465 25
    2     163     502 57
    2     164    7838 3
    2     165     642 86
    2     167    3236 27
    2     171    1883 57
    2     174     627 36
    2     175    8673 49
    2     179    7466 95
    2     180    3150 45
    2     181    1075 29
    2     183    6038 38
    2     192    9420 8
    2     193    9908 89
    2     194    4856 97
    2     195    8633 2
    2     196    3404 85
    2     199    6564 89
    2     203    6131 95
    2     205    6661 43
    2     207    9080 53
    2     208    1490 82
    2     210    3109 25
    2     211    2829 35
    2     217    4937 42
    2     218    6988 17
    2     219    2361 16
    2     229    7031 82
    2     230    1791 97
    2     232    4778 74
    2     242    4873 2
    2     243    5104 100
    2     245     120 77
    2     248    3670 80
    2     250    5873 11
    2     251    9322 86
    2     252    2026 78
    2     256     987 78
    2     260    8870 74
    2     269    2091 79
    2     270    2022 33
    2     273    3226 50
    2     279    8374 30
    2     285    4446 1
    2     286    2637 35
    2     287    9455 14
    2     288    5704 66
    2     297    8491 80
    2     299    7876 11
    3       6    2565 5
    3      13    3743 50
    3      14    9941 97
    3      15    7480 30
    3      16    2370 46
    3      22    7083 55
    3      23    7250 68
    3      27    1788 89
    3      40    4738 19
    3      45    9480 61
    3      46    4140 67
    3      49    1115 27
    3      54    1976 60
    3      55      83 66
    3      60    1624 60
    3      62    5250 84
    3      65    3063 84
    3      75    8079 55
    3      77    3020 26
    3      78    6057 11
    3      79    1896 29
    3      91    3290 90
    3      92    2466 79
    3      98    9436 12
    3     102    2700 51
    3     107    4082 59
    3     114    4929 23
    3     119    3637 40
    3     120    6220 48
    3     121    8361 75
    3     125    5220 11
    3     128    4818 48
    3     131    9809 100
    3     140    4155 36
    3     142    6313 71
    3     144    8778 10
    3     145     497 20
    3     149    8327 95
    3     156    3563 97
    3     159    8611 51
    3     162    8700 37
    3     164    8301 56
    3     170    5023 43
    3     172    1575 62
    3     174     264 98
    3     178    4203 59
    3     180    6843 16
    3     183    1378 19
    3     190    2470 97
    3     194    7753 53
    3     195    5334 100
    3     197    1529 32
    3     198      58 12
    3     199    3462 70
    3     200    7310 44
    3     203    4999 89
    3     206    1768 24
    3     209    6637 50
    3     210    9569 95
    3     212     693 53
    3     213    7183 50
    3     215    5180 2
    3     217    8857 79
    3     220    7201 2
    3     223    5336 73
    3     226    4159 92
    3     229    4064 67
    3     232    1155 26
    3     240    4053 97
    3     241    8559 41
    3     245    2563 89
    3     247     616 41
    3     252    2072 92
    3     253    2255 89
    3     254    5033 7
    3     260    9667 84
    3     261     793 23
    3     262    4001 82
    3     265    7640 86
    3     269    2926 87
    3     271    2392 27
    3     274    4452 61
    3     275    7743 50
    3     276    7559 88
    3     279     731 76
    3     280     405 81
    3     281    3754 52
    3     283    2236 84
    3     287    1712 69
    3     289    4320 85
    3     292     707 3
    3     297    1465 79
    3     298    2289 81
    3     300    1064 45
    4       8      83 94
    4      10    7904 10
    4      13    1990 24
    4      17    1448 22
    4      18    5407 22
    4      19    2721 26
    4      21    3442 24
    4      22    7381 58
    4      32    5879 15
    4      35     670 96
    4      39    2145 37
    4      41    8630 76
    4      43    9028 41
    4      44    6540 47
    4      46    9798 93
    4      54     282 77
    4      60     467 89
    4      63    8378 94
    4      64    1118 20
    4      66    9842 20
    4      69    5611 78
    4      70    8380 26
    4      72    2524 74
    4      73    4317 28
    4      77    3701 87
    4      79    1064 70
    4      80    5492 48
    4      83    7115 44
    4      90    2792 36
    4      91     975 23
    4      94    6510 100
    4      95    7884 95
    4      97    7536 70
    4      98    7515 30
    4      99    1382 20
    4     101    2400 44
    4     102    4932 54
    4     109     751 60
    4     113     841 73
    4     121    2613 34
    4     124    6603 46
    4     125    5382 35
    4     129    1262 63
    4     132    2992 77
    4     136    2618 2
    4     142    5904 74
    4     143    9284 37
    4     145    3815 42
    4     149    2021 88
    4     150    4211 56
    4     156    8521 32
    4     159    5940 32
    4     165    3898 52
    4     166     590 79
    4     169    2428 63
    4     174    3078 49
    4     176    4011 52
    4     178    8853 73
    4     179     872 19
    4     181    2750 64
    4     183    6794 9
    4     186    3742 18
    4     188    1579 100
    4     191    7886 61
    4     192    7645 23
    4     194    2158 54
    4     200    9244 55
    4     206    2235 52
    4     208    4318 51
    4     209     427 43
    4     214    8220 1
    4     215    5493 58
    4     220    9694 50
    4     224    6422 65
    4     227     443 62
    4     229    4235 37
    4     230    5150 79
