   50     367
    1       3    4439 76
    1       4    4741 95
    1       8     193 54
    1      13    5601 32
    1      15    4359 89
    1      19    7280 6
    1      21     497 57
    1      23     963 99
    1      24    6643 33
    1      30     547 41
    1      31    6645 85
    1      33    6457 3
    1      34    4172 11
    1      40    1488 68
    1      41     500 64
    1      42    6627 50
    1      43    9850 16
    1      44    1634 14
    1      46    5133 78
    1      47    4229 52
    1      50    9316 3
    2       5    6149 6
    2       7    4347 82
    2       9    2394 93
    2      13    9889 87
    2      15     489 55
    2      16    3173 8
    2      17    2720 38
    2      20    1440 43
    2      21    1800 90
    2      25    9183 18
    2      26    9796 90
    2      28    5297 21
    2      29    7306 73
    2      32    3369 68
    2      35    5278 94
    2      38    3876 85
    2      41    2418 53
    2      44    7359 66
    3       6    2112 80
    3       8    5350 42
    3       9    2975 43
    3      12    4436 16
    3      13    1044 58
    3      16    6727 31
    3      19    2489 14
    3      25    5300 23
    3      32    8578 28
    3      35     773 36
    3      41    5752 96
    3      45    5472 31
    3      47    6486 31
    3      49    6098 19
    4      21    5219 20
    4      26    4011 23
    4      31    4960 56
    4      33    7976 89
    4      35    2557 46
    4      36    6827 21
    4      40     752 82
    4      42    7641 85
    4      45    9026 34
    4      46    6923 61
    4      47    1504 22
    4      50    2670 10
    5       6    7426 73
    5      10    7773 74
    5      17    9751 53
    5      24     734 52
    5      41    9137 1
    5      43     453 24
    5      44    5068 30
    5      46     563 7
    5      47    8842 28
    6      13    6884 44
    6      14     405 57
    6      15    7651 84
    6      16    6435 85
    6      26    5868 64
    6      28    1347 11
    6      29    2990 31
    6      30    9432 53
    6      33    9511 11
    6      35     774 74
    6      45    8556 34
    6      48    6724 5
    7      13    4951 99
    7      15    4389 30
    7      19     416 65
    7      23     120 84
    7      24    2367 100
    7      28    3701 89
    7      30    6217 48
    7      37     258 51
    7      42    7179 58
    7      47    6459 50
    7      48    1380 48
    8      16    3118 34
    8      28    1107 86
    8      33    4402 95
    8      34    5054 12
    8      41     937 11
    8      42    1788 52
    9      14     299 22
    9      15    2781 6
    9      22     312 3
    9      25    1626 42
    9      30    2048 55
    9      32     807 49
    9      38    7209 61
    9      39    9810 100
   10      14    4158 20
   10      20    8642 3
   10      22    8390 46
   10      23    2701 70
   10      26    9160 72
   10      36    9619 44
   10      38    6046 83
   10      41    2749 45
   10      43    7129 98
   10      46     260 94
   11      14     652 79
   11      15    3943 18
   11      16    4293 15
   11      17    1982 53
   11      19    1422 66
   11      20     134 42
   11      21    6408 4
   11      23    1869 1
   11      25    8169 52
   11      31    1975 75
   11      33    1529 72
   11      34    1874 100
   11      35    2468 36
   11      36    4065 48
   11      39    5065 40
   11      41    8514 91
   11      45    6352 40
   12      20    8262 74
   12      22    8744 38
   12      28    7840 37
   12      31    8559 46
   12      33     256 31
   12      34    8216 65
   12      43    2723 67
   12      48    4804 91
   12      50    2435 41
   13      16    9467 36
   13      22    4533 51
   13      24    3678 98
   13      27    8379 4
   13      41    3601 73
   13      43    7894 58
   13      47    9262 61
   14      24    5187 56
   14      27     873 19
   14      28    2431 52
   14      30    8299 17
   14      36    4768 10
   14      38    7257 43
   14      39    1262 42
   14      40    3168 20
   14      43     401 2
   15      18    2591 92
   15      20    1373 52
   15      28     262 40
   15      30    7096 49
   15      39    5605 9
   15      40    8818 50
   15      43    4775 8
   15      44    8583 89
   15      45    3407 93
   15      46    5863 74
   15      47    2094 62
   15      50    8376 15
   16      17     894 29
   16      21    2828 61
   16      22    9636 93
   16      24    4777 7
   16      26    2855 96
   16      28    1280 36
   16      30    9100 97
   16      35    8658 60
   16      36    3002 32
   16      40    6173 89
   16      42    7577 81
   16      48    1411 51
   17      21    2788 50
   17      26    2397 96
   17      34    8621 77
   17      37    5817 19
   17      39    8566 42
   17      40    8361 60
   17      45    4132 99
   17      46    5054 87
   17      48    9669 76
   17      50     404 28
   18      20     963 21
   18      22    9316 31
   18      23    8609 10
   18      25    4980 35
   18      28    9869 99
   18      29    4846 62
   18      34    3230 17
   18      36    8077 21
   18      37    6994 72
   18      39    1722 9
   18      45     424 95
   18      46     770 44
   18      50    7934 9
   19      24    1688 58
   19      31    8743 73
   19      36    4099 1
   19      38    7011 3
   19      42    9396 31
   19      44    6869 25
   19      45    1195 74
   19      46    1270 49
   19      48    9759 27
   20      25    7649 84
   20      37    8142 21
   20      38    8431 44
   20      44    9195 97
   20      49    1026 79
   21      23     215 69
   21      30    1169 51
   21      34    9338 96
   21      35    1958 72
   21      36    8645 3
   21      39    9853 48
   21      42    2827 44
   21      44    4106 53
   21      47    4934 39
   21      50    9459 85
   22      29    2250 25
   22      30    6627 72
   22      34    9036 24
   22      39    2599 53
   22      42    2397 11
   23      26    3370 38
   23      27     163 38
   23      29    7458 75
   23      34    9989 36
   23      35     798 46
   23      36     448 5
   23      37    4854 32
   23      40    3650 31
   23      44    6462 82
   23      45    1209 3
   23      47    2996 57
   23      50    1176 78
   24      26    8483 67
   24      27    7999 56
   24      31    4713 58
   24      33    7924 40
   24      36    5824 59
   24      38    2882 42
   24      40    5336 55
   24      41    4763 26
   24      43    2183 33
   24      44    7255 45
   24      48    1183 77
   24      49    6379 76
   25      27     122 71
   25      29    6894 60
   25      37    6152 92
   25      40    6377 22
   25      41    7301 44
   25      43    3488 26
   25      48    2208 64
   26      29    9816 99
   26      32    1445 48
   26      37    6233 95
   26      41    6990 95
   26      45     217 47
   26      46    4066 91
   26      50     215 21
   27      28    5300 45
   27      29     670 89
   27      30    6114 37
   27      33    8206 12
   27      37    2984 92
   27      43    9738 96
   27      46     377 18
   27      48    7414 24
   28      30     109 78
   28      32    5853 6
   28      34    3998 98
   28      35     666 10
   28      38    7997 29
   28      42     951 37
   28      48    5862 10
   28      50    5441 44
   29      31    5276 50
   29      38    9507 40
   29      39    7122 97
   29      41    2894 17
   29      42    1952 22
   29      43    2414 22
   29      48    1723 47
   30      32    9061 86
   30      34    6079 22
   30      38    4315 12
   30      47    1582 93
   30      49    1307 97
   30      50    1996 40
   31      33    8738 79
   31      36    9107 51
   31      43    1136 99
   31      44    8370 80
   31      45    6745 42
   31      49    3371 53
   32      35    1849 35
   32      36      18 41
   32      40    8003 76
   32      43    9596 78
   33      35    7189 39
   33      39    2623 23
   33      40    4778 85
   33      43    9942 35
   34      35    6968 76
   34      36    5234 49
   34      38    8122 60
   34      41    2032 49
   34      44    2356 89
   34      50    2196 23
   35      36    3502 78
   35      37    2279 66
   35      45    8522 70
   35      46    2467 33
   35      48    5221 16
   35      50    4350 83
   36      37    6439 66
   36      41    7412 52
   36      44    1115 93
   36      50    3493 30
   37      39    7354 65
   37      40    3416 27
   37      43    7374 44
   37      44    9365 64
   37      45    6354 75
   38      43     179 64
   38      44    2771 83
   38      47    7126 86
   38      48     568 94
   39      41    7881 5
   39      45    6854 23
   39      46    3763 23
   39      50    4674 34
   40      41    7667 89
   40      42    2125 46
   40      45    2584 52
   40      48    8070 48
   40      49    3230 51
   41      48     122 57
   42      43    5671 53
   42      48    7903 82
   43      45    8353 91
   43      47    4932 54
   43      50    6686 1
   44      45    1740 4
   44      48    1886 88
   45      47    3229 99
   45      49    5701 38
   47      48    6021 33
   47      50     444 95
   49      50    9968 44
